"Delete Relation","Видалити зв'язок"
"Delete with inversed relation","Видалити разом із оберненим зв'язком"
"Save Relation","Зберегти зв'язок"
"Also Viewed Products","Також переглянуті продукти"
Log,Лог
"You deleted relation.","Ви видалили зв'язок."
"Something went wrong while saving relation.","Щось трапилось під час збереження зв'язку"
"We can't find relation to delete.","Зв'язок, який потрібно видалити не знайдено."
"This relation no longer exists.","Цей зв'язок не існує."
Relations,Зв'язки
"Edit Relation","Редагувати зв'язок"
"New Relation","Новий зв'язок"
"You saved relation.","Ви зберегли зв'язок."
"Currently Viewed Product","Продукт, що переглядається зараз"
"Shopping Cart Items","Продукти в кошику"
"Relation was not registered","Зв'язок не був зареєстрований"
"Product Page Tabs Integration","Інтеграція у вкладки на сторінці продукту"
"These settings works with standard Magento tabs only. If you are using custom tabs module, use its manual on how to add third-party widget in tabs.","Ці налаштування працюють тільки із стандартними вкладками. Якщо ви використовуєте сторонній модуль для відображення вкладок, ознайомтесь із його інструкцією по додаванню віджетів у вкладки"
"Show block at Product page tabs","Показувати блок у вкладці на сторінці продукту"
"Tab Title","Заголовок вкладки"
"Offer Recommendations for","Пропонувати рекомендації на основі"
"Products Count","Кількість продуктів"
"Listing mode","Режим списку"
"Block css classes","Css класи блока"
"Default Template","Шаблон за замовчуванням"
"Sidebar Template","Шаблон для бокової колонки"
"Process Log","Опрацювати лог"
"Related Product Name","Зв'язаний продукт"
"Weight is automatically increased by module. It is highly recommended to not to change it, to see the actual popular relations","Вага зростає автоматично. Рекомендується не змінювати її, щоб бачити які зв'язки є дійсно популярними"
"Position is used to sort products manually, despite of the relation weight","Позиція використувається для того, щоб змінити порядок зв'язків, незважаючи на значення ваги"
"Apply the same values to the inversed relation","Застосувати ці ж значення до оберненого зв'язку"
"Are you sure you want to delete selected relations?","Ви дійсно хочете видалити обрані зв'язки?"
"Change status","Змінити статус"
"Updated At","Дата оновлення"
"Log Settings","Налаштування логування"
"Ignore crawlers","Ігнорувати краулери"
"Crawler's user agent regex","Регулярний вираз, для визначення краулерів"
"Ignore specific ip addresses","Ігнорувати IP-адреси"
"Ip addresses (comma separated)","IP-адреси (розділені комами)"
